Time,trustor,trustee,pkts_f,pkts_d,pdr,frds,coi,D_ID,D_Type,D_Brand,D_Model,D_Relationship_Type,D_Relationship_Factor
24,10,11,1,8,0.111111111,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
24,1,10,4,6,0.4,1,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
25,1,11,2,8,0.2,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
25,14,10,2,0,1,1,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
26,6,2,2,1,0.666666667,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
27,15,3,3,2,0.6,0,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
27,2,6,1,0,1,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
28,10,15,2,3,0.4,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
29,14,2,5,2,0.714285714,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
29,3,8,8,0,1,1,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
30,9,4,4,2,0.666666667,0,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
30,3,13,8,0,1,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
30,13,7,3,4,0.428571429,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
31,9,13,3,3,0.5,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
32,14,4,1,0,1,1,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
32,5,7,1,0,1,1,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
33,6,14,2,6,0.25,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
33,11,10,1,0,1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
34,3,6,1,2,0.333333333,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
35,6,5,2,1,0.666666667,1,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
35,11,7,2,2,0.5,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
36,4,12,3,1,0.75,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
37,6,5,2,8,0.2,1,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
37,14,10,5,1,0.833333333,1,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
38,6,12,9,1,0.9,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
38,4,10,2,0,1,1,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
39,14,7,1,8,0.111111111,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
40,10,13,3,1,0.75,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
40,2,14,2,5,0.285714286,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
41,15,8,7,1,0.875,0,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
42,12,3,1,7,0.125,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
42,6,3,8,1,0.888888889,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
42,1,11,6,2,0.75,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
43,6,11,5,4,0.555555556,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
44,11,9,2,1,0.666666667,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
44,4,10,5,3,0.625,1,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
45,12,5,1,2,0.333333333,1,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
45,6,12,4,1,0.8,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
46,4,12,7,2,0.777777778,0,1,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
47,10,2,5,2,0.714285714,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
47,13,7,2,3,0.4,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
48,15,5,3,2,0.6,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
48,10,14,6,1,0.857142857,1,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
48,2,14,5,0,1,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
49,2,9,4,1,0.8,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
50,9,1,2,0,1,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
50,12,7,2,8,0.2,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
51,12,1,2,8,0.2,1,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
51,9,14,2,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
51,1,6,4,0,1,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
53,15,4,6,2,0.75,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
53,10,1,6,0,1,1,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
53,2,13,1,0,1,1,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
54,15,7,7,1,0.875,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
55,10,15,8,1,0.888888889,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
55,5,6,2,0,1,1,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
56,5,11,1,1,0.5,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
56,15,6,2,1,0.666666667,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
57,7,5,5,0,1,1,1,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
58,4,14,1,0,1,1,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
58,13,7,1,4,0.2,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
59,13,4,4,1,0.8,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
59,7,14,1,1,0.5,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
60,2,7,5,0,1,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
61,7,15,7,2,0.777777778,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
61,15,8,2,8,0.2,0,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
62,4,7,4,2,0.666666667,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
63,12,5,1,3,0.25,1,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
63,7,11,3,2,0.6,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
63,4,11,5,1,0.833333333,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
65,8,14,1,3,0.25,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
65,13,6,4,0,1,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
65,1,6,10,0,1,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
66,13,2,3,1,0.75,1,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
66,8,4,1,3,0.25,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
67,1,13,2,2,0.5,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
68,7,13,6,2,0.75,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
68,12,6,2,0,1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
68,1,6,3,1,0.75,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
69,14,3,1,1,0.5,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
70,10,2,4,1,0.8,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
70,2,13,1,1,0.5,1,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
71,11,6,3,6,0.333333333,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
72,10,14,4,0,1,1,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
72,1,13,3,5,0.375,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
73,13,5,2,8,0.2,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
73,10,3,4,0,1,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
73,1,7,8,0,1,1,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
75,7,4,6,2,0.75,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
75,5,12,2,1,0.666666667,1,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
75,14,10,1,0,1,1,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
77,14,3,4,2,0.666666667,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
77,7,1,1,0,1,1,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
77,2,11,3,0,1,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
78,2,10,3,0,1,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
79,6,5,1,1,0.5,1,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
79,12,9,2,8,0.2,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
80,2,15,1,2,0.333333333,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
81,12,2,4,0,1,0,1,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
81,8,11,2,0,1,0,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
82,12,9,1,3,0.25,0,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
82,1,9,2,0,1,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
83,9,4,4,5,0.444444444,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
84,9,11,5,4,0.555555556,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
84,14,9,3,2,0.6,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
84,5,6,1,5,0.166666667,1,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
86,8,15,10,0,1,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
86,5,13,2,1,0.666666667,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
86,13,6,10,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
87,5,9,2,1,0.666666667,1,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
88,12,2,1,0,1,0,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
88,8,2,1,1,0.5,1,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
89,8,13,1,1,0.5,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
89,2,11,1,4,0.2,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
89,14,6,1,0,1,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
90,2,6,3,2,0.6,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
91,9,3,5,1,0.833333333,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
91,14,7,1,0,1,0,1,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
92,9,13,4,2,0.666666667,0,1,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
92,5,15,5,3,0.625,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
93,12,9,9,0,1,0,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
93,5,8,7,1,0.875,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
94,10,11,9,0,1,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
95,12,9,7,3,0.7,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
95,4,10,2,6,0.25,1,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
96,12,2,4,6,0.4,0,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
96,10,5,3,3,0.5,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
96,4,15,6,2,0.75,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
98,14,1,1,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
98,9,5,5,1,0.833333333,1,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
98,4,15,1,0,1,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
99,9,13,4,2,0.666666667,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
100,4,11,3,3,0.5,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
100,11,6,3,0,1,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
101,13,3,1,2,0.333333333,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
101,8,5,6,3,0.666666667,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
101,4,10,3,3,0.5,1,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
102,8,14,9,0,1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
103,13,8,9,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
103,5,9,4,0,1,1,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
104,14,5,5,4,0.555555556,0,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
104,6,1,1,2,0.333333333,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
105,6,14,1,2,0.333333333,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
105,2,12,1,3,0.25,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
106,14,7,3,0,1,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
106,2,10,1,3,0.25,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
107,12,1,1,2,0.333333333,1,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
107,9,11,1,0,1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
108,2,15,1,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
109,11,1,4,2,0.666666667,0,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
109,9,12,2,1,0.666666667,0,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
109,2,8,1,0,1,1,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
111,10,5,5,4,0.555555556,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
111,1,11,1,3,0.25,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
111,13,9,5,1,0.833333333,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
112,1,10,4,0,1,1,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
113,15,2,7,1,0.875,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
113,7,13,1,2,0.333333333,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
114,3,14,4,1,0.8,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
115,11,3,1,4,0.2,1,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
115,7,15,6,3,0.666666667,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
116,7,4,8,1,0.888888889,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
116,2,12,1,1,0.5,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
117,12,6,4,2,0.666666667,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
117,2,10,1,1,0.5,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
118,11,5,3,3,0.5,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
118,6,2,1,3,0.25,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
119,5,14,5,5,0.5,0,1,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
120,10,2,4,3,0.571428571,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
120,13,9,4,4,0.5,0,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
120,5,9,3,7,0.3,1,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
122,10,11,3,2,0.6,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
122,12,7,1,0,1,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
122,2,8,7,0,1,1,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
123,10,5,1,4,0.2,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
124,5,11,1,4,0.2,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
124,11,7,1,0,1,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
125,12,1,1,0,1,1,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
125,10,3,1,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
126,3,14,10,0,1,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
127,7,2,1,0,1,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
127,12,9,6,4,0.6,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
127,3,10,4,6,0.4,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
128,7,14,1,0,1,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
129,14,8,1,1,0.5,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
129,4,8,1,7,0.125,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
130,11,3,2,0,1,1,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
130,10,2,2,7,0.222222222,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
131,4,14,1,0,1,1,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
131,10,14,7,2,0.777777778,1,1,1,Smartphone,Apple,iPhone 12,Personal,0.8
132,11,5,1,5,0.166666667,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
132,4,8,1,0,1,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
133,10,5,1,0,1,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
133,14,6,5,1,0.833333333,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
134,5,12,4,0,1,1,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
134,10,15,1,0,1,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
135,15,8,5,5,0.5,0,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
136,10,1,8,0,1,1,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
136,1,10,1,0,1,1,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
137,1,14,1,0,1,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
137,11,6,6,2,0.75,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
138,8,1,1,2,0.333333333,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
139,1,15,1,2,0.333333333,0,1,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
139,8,14,1,2,0.333333333,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
139,13,9,1,0,1,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
140,14,4,1,0,1,1,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
141,8,4,5,1,0.833333333,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
141,3,7,7,0,1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
142,3,12,6,1,0.857142857,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
142,12,10,1,0,1,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
143,10,13,2,0,1,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
144,3,11,1,5,0.166666667,1,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
144,13,7,1,7,0.125,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
145,14,2,2,6,0.25,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
145,8,11,1,0,1,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
145,3,9,5,1,0.833333333,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
147,15,4,3,1,0.75,0,0,8,Smart Camera,Arlo,Pro 3,Security,0.8
147,6,15,4,1,0.8,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
147,4,9,4,0,1,0,1,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
148,6,4,1,4,0.2,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
148,4,11,3,1,0.75,0,0,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
148,11,8,2,2,0.5,0,1,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
150,13,3,3,0,1,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
150,7,4,10,0,1,0,0,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
150,4,9,2,0,1,0,1,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
151,7,14,8,2,0.8,0,1,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
152,3,11,6,3,0.666666667,1,1,8,Smart Camera,Arlo,Pro 3,Security,0.8
152,13,7,3,0,1,0,0,9,Smart Refrigerator,Samsung,RF28R7351SG,Fridge,0.8
153,10,3,1,0,1,0,0,10,Smart Plug,TP-Link,Kasa Smart Plug,Home Automation,0.7
153,3,9,3,6,0.333333333,0,0,1,Smartphone,Apple,iPhone 12,Personal,0.8
154,15,1,2,0,1,0,1,2,Smartwatch,Samsung,Galaxy Watch,Personal,0.9
155,10,3,3,4,0.428571429,0,0,3,Smart Speaker,Amazon,Echo Dot,Home Automation,0.6
155,3,9,1,0,1,0,0,4,Smart Thermostat,Nest,Learning Thermostat,Home Automation,0.7
155,11,8,2,0,1,0,1,5,Smart Bulb,Philips,Hue White & Color Ambiance,Home Automation,0.7
157,8,4,1,1,0.5,0,0,6,Smart Lock,Yale,Assure Lock SL,Home Automation,0.8
157,3,10,1,0,1,0,0,7,Smart TV,Sony,Bravia X900H,Entertainment,0.7
